_key,cik_str,ticker,title
191,1048911,FDX,FEDEX CORP
192,1404912,KKR,KKR & Co. Inc.
193,1393311,PSA,Public Storage
194,1551182,ETN,Eaton Corp plc
195,1129137,AMOV,AMERICA MOVIL SAB DE CV/
196,1110646,NTES,"NetEase, Inc."
197,702165,NSC,NORFOLK SOUTHERN CORP
198,885725,BSX,BOSTON SCIENTIFIC CORP
199,1610520,UBS,UBS Group AG
200,1571949,ICE,"Intercontinental Exchange, Inc."
201,1059556,MCO,MOODYS CORP /DE/
202,2969,APD,"Air Products & Chemicals, Inc."
203,29534,DG,DOLLAR GENERAL CORP
204,1420798,RBGLY,RECKITT BENCKISER GROUP PLC
205,1091587,ABB,ABB LTD
206,883241,SNPS,SYNOPSYS INC
207,929869,RELX,RELX PLC
208,1061219,EPD,ENTERPRISE PRODUCTS PARTNERS L.P.
209,797468,OXY,OCCIDENTAL PETROLEUM CORP /DE/
210,1510295,MPC,Marathon Petroleum Corp
211,1075124,TRI,THOMSON REUTERS CORP /CAN/
212,319201,KLAC,KLA CORP
213,1418135,KDP,Keurig Dr Pepper Inc.
214,1467858,GM,General Motors Co
215,1071739,CNC,CENTENE CORP
216,32604,EMR,EMERSON ELECTRIC CO
217,927653,MCK,MCKESSON CORP
218,1099219,MET,METLIFE INC
219,1640147,SNOW,Snowflake Inc.
220,1038357,PXD,PIONEER NATURAL RESOURCES CO
221,1099590,MELI,MERCADOLIBRE INC
222,1096200,ENLAY,ENEL SOCIETA PER AZIONI
223,4904,AEP,AMERICAN ELECTRIC POWER CO INC
224,1032208,SRE,SEMPRA ENERGY
225,1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/
226,1004315,NGG,NATIONAL GRID PLC
227,813672,CDNS,CADENCE DESIGN SYSTEMS INC
228,1512673,SQ,"Block, Inc."
229,1594805,SHOP,SHOPIFY INC.
230,1327567,PANW,Palo Alto Networks Inc
231,899108,PRNDY,PERNOD RICARD S A /FI
232,1124610,VMW,"VMWARE, INC."
233,87347,SLB,SCHLUMBERGER LIMITED/NV
234,1232384,TRP,TC ENERGY CORP
235,1703399,SE,Sea Ltd
236,769397,ADSK,"Autodesk, Inc."
237,1132597,ITUB,Itau Unibanco Holding S.A.
238,1413447,NXPI,NXP Semiconductors N.V.
239,1605484,STLA,Stellantis N.V.
240,865752,MNST,Monster Beverage Corp
241,1835632,MRVL,"Marvell Technology, Inc."
242,1329099,BIDU,"Baidu, Inc."
243,723531,PAYX,PAYCHEX INC
244,31462,ECL,ECOLAB INC.
245,47111,HSY,HERSHEY CO
246,1725964,NTR,Nutrien Ltd.
247,1637459,KHC,Kraft Heinz Co
248,7084,ADM,Archer-Daniels-Midland Co
249,820313,APH,AMPHENOL CORP /DE/
250,1045520,CM,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/
251,40704,GIS,GENERAL MILLS INC
252,202058,LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/"
253,882835,ROP,ROPER TECHNOLOGIES INC
254,898173,ORLY,O REILLY AUTOMOTIVE INC
255,718940,BCE,BCE INC
256,55785,KMB,KIMBERLY CLARK CORP
257,1060391,RSG,"REPUBLIC SERVICES, INC."
258,726728,O,REALTY INCOME CORP
259,1565025,ABEV,AMBEV S.A.
260,1058090,CMG,CHIPOTLE MEXICAN GRILL INC
261,16918,STZ,"CONSTELLATION BRANDS, INC."
262,96021,SYY,SYSCO CORP
263,1109357,EXC,EXELON CORP
264,1535527,CRWD,"CrowdStrike Holdings, Inc."
265,831259,FCX,FREEPORT-MCMORAN INC
266,1478242,IQV,IQVIA HOLDINGS INC.
267,1395064,TAK,TAKEDA PHARMACEUTICAL CO LTD
268,5272,AIG,"AMERICAN INTERNATIONAL GROUP, INC."
269,1222333,GLD,SPDR GOLD TRUST
270,891478,SAN,"Banco Santander, S.A."
271,1385157,TEL,TE Connectivity Ltd.
272,715153,HMC,HONDA MOTOR CO LTD
273,866787,AZO,AUTOZONE INC
274,1755672,CTVA,"Corteva, Inc."
275,723254,CTAS,CINTAS CORP
276,1471055,BSBR,Banco Santander (Brasil) S.A.
277,1262039,FTNT,"Fortinet, Inc."
278,844551,WDS,WOODSIDE ENERGY GROUP LTD
279,1022837,SMFG,"SUMITOMO MITSUI FINANCIAL GROUP, INC."
280,311337,SU,SUNCOR ENERGY INC
281,1035002,VLO,VALERO ENERGY CORP/TX
282,1327811,WDAY,"Workday, Inc."
283,1002242,E,ENI SPA
284,68505,MSI,"Motorola Solutions, Inc."
285,927628,COF,CAPITAL ONE FINANCIAL CORP
286,1408198,MSCI,MSCI Inc.
287,1776985,BNTX,BioNTech SE
288,1397187,LULU,lululemon athletica inc.
289,1063761,SPG,SIMON PROPERTY GROUP INC /DE/
290,72903,XEL,XCEL ENERGY INC
291,1506307,KMI,"KINDER MORGAN, INC."
292,839923,VOD,VODAFONE GROUP PUBLIC LTD CO
293,1090872,A,"AGILENT TECHNOLOGIES, INC."
294,107263,WMB,"WILLIAMS COMPANIES, INC."
295,4977,AFL,AFLAC INC
296,1648416,RACE,Ferrari N.V.
297,827054,MCHP,MICROCHIP TECHNOLOGY INC
298,1463101,ENPH,"Enphase Energy, Inc."
299,1751788,DOW,DOW INC.
300,1596532,ANET,"Arista Networks, Inc."
301,833444,JCI,Johnson Controls International plc
302,1160330,BBD,BANK BRADESCO
303,1297996,DLR,"DIGITAL REALTY TRUST, INC."
304,86312,TRV,"TRAVELERS COMPANIES, INC."
305,3570,LNG,"Cheniere Energy, Inc."
306,354190,AJG,Arthur J. Gallagher & Co.
307,1090012,DVN,DEVON ENERGY CORP/DE
308,76334,PH,PARKER HANNIFIN CORP
309,1167379,ALC,ALCON INC
310,1160106,LYG,Lloyds Banking Group plc
311,935703,DLTR,"DOLLAR TREE, INC."
312,1107457,IFNNY,INFINEON TECHNOLOGIES AG
313,1034054,SBAC,SBA COMMUNICATIONS CORP
314,1039765,ING,ING GROEP NV
315,766704,WELL,WELLTOWER INC.
316,1001838,SCCO,SOUTHERN COPPER CORP/
317,1137774,PRU,PRUDENTIAL FINANCIAL INC
318,1534701,PSX,Phillips 66
319,712515,EA,ELECTRONIC ARTS INC.
320,47217,HPQ,HP INC
321,1466258,TT,Trane Technologies plc
322,1318220,WCN,"Waste Connections, Inc."
323,1585689,HLT,Hilton Worldwide Holdings Inc.
324,1123360,GPN,GLOBAL PAYMENTS INC
325,73309,NUE,NUCOR CORP
326,1164727,NEM,NEWMONT Corp /DE/
327,1086888,MFC,MANULIFE FINANCIAL CORP
328,1058290,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP
329,1561550,DDOG,"Datadog, Inc."
330,878927,ODFL,"OLD DOMINION FREIGHT LINE, INC."
331,1783180,CARR,CARRIER GLOBAL Corp
332,14693,BF-A,BROWN FORMAN CORP
333,1110803,ILMN,"ILLUMINA, INC."
334,1260221,TDG,TransDigm Group INC
335,1048515,DANOY,GROUPE DANONE
336,1393052,VEEV,VEEVA SYSTEMS INC
337,1047862,ED,CONSOLIDATED EDISON INC
338,1736541,NIO,NIO Inc.
339,1390777,BK,Bank of New York Mellon Corp
340,1571996,DELL,Dell Technologies Inc.
341,932787,STM,STMicroelectronics N.V.
342,1276187,ET,Energy Transfer LP
343,943819,RMD,RESMED INC
344,1900304,HLN,Haleon plc
